"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","SEX (CODE)","SEX (DISPLAY)","SEX (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","BTSX","Both sexes","","0.3 [0.3-0.4]","0.30000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","SOM","Somalia","","BTSX","Both sexes","","0.3 [0.3-0.4]","0.30000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","YEM","Yemen","","BTSX","Both sexes","","0.3 [0.3-0.4]","0.30000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","KWT","Kuwait","","MLE","Male","","0.3 [0.3-0.5]","0.30000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","SYR","Syrian Arab Republic","","FMLE","Female","","0.3 [0.3-0.5]","0.30000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AFR","Africa","","MRT","Mauritania","","BTSX","Both sexes","","0.5 [0.4-0.6]","0.50000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","SEAR","South-East Asia","","BGD","Bangladesh","","FMLE","Female","","0.5 [0.4-0.6]","0.50000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MLE","Male","","0.5 [0.4-0.7]","0.50000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","IRN","Iran (Islamic Republic of)","","FMLE","Female","","0.5 [0.4-0.7]","0.50000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","SOM","Somalia","","MLE","Male","","0.5 [0.4-0.7]","0.50000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","SDN","Sudan","","FMLE","Female","","0.5 [0.4-0.7]","0.50000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","YEM","Yemen","","MLE","Male","","0.5 [0.4-0.7]","0.50000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","PAK","Pakistan","","BTSX","Both sexes","","0.6 [0.4-0.8]","0.60000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","MAR","Morocco","","FMLE","Female","","0.6 [0.5-0.8]","0.60000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","EGY","Egypt","","FMLE","Female","","0.7 [0.5-0.8]","0.70000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AFR","Africa","","MRT","Mauritania","","MLE","Male","","0.7 [0.5-0.9]","0.70000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AFR","Africa","","DZA","Algeria","","FMLE","Female","","0.7 [0.6-0.9]","0.70000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","IRQ","Iraq","","FMLE","Female","","0.7 [0.6-0.9]","0.70000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","JOR","Jordan","","FMLE","Female","","0.7 [0.6-0.9]","0.70000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","TUN","Tunisia","","FMLE","Female","","0.8 [0.6-1]","0.80000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","PAK","Pakistan","","MLE","Male","","0.9 [0.6-1.2]","0.90000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AFR","Africa","","COM","Comoros","","FMLE","Female","","0.9 [0.7-1.3]","0.90000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","SYR","Syrian Arab Republic","","BTSX","Both sexes","","1 [0.8-1.3]","1.00000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","SDN","Sudan","","BTSX","Both sexes","","1.1 [1-1.3]","1.10000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","MAR","Morocco","","BTSX","Both sexes","","1.3 [1.1-1.6]","1.30000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","SEAR","South-East Asia","","BGD","Bangladesh","","BTSX","Both sexes","","1.3 [1.1-1.6]","1.30000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","EGY","Egypt","","BTSX","Both sexes","","1.4 [1.2-1.6]","1.40000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","JOR","Jordan","","BTSX","Both sexes","","1.5 [1.2-1.7]","1.50000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","LBN","Lebanon","","FMLE","Female","","1.5 [1.2-1.8]","1.50000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EUR","Europe","","TUR","Türkiye","","FMLE","Female","","1.5 [1.2-1.8]","1.50000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","OMN","Oman","","FMLE","Female","","1.5 [1.2-1.9]","1.50000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AFR","Africa","","DZA","Algeria","","BTSX","Both sexes","","1.5 [1.3-1.8]","1.50000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","IRQ","Iraq","","BTSX","Both sexes","","1.5 [1.3-1.9]","1.50000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","SAU","Saudi Arabia","","FMLE","Female","","1.6 [1.3-2.1]","1.60000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","SYR","Syrian Arab Republic","","MLE","Male","","1.7 [1.2-2.2]","1.70000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","IRN","Iran (Islamic Republic of)","","BTSX","Both sexes","","1.7 [1.3-2.2]","1.70000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","SDN","Sudan","","MLE","Male","","1.7 [1.4-2.1]","1.70000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","BHR","Bahrain","","FMLE","Female","","1.8 [1.4-2.2]","1.80000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","SEAR","South-East Asia","","MDV","Maldives","","FMLE","Female","","1.8 [1.4-2.4]","1.80000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","MAR","Morocco","","MLE","Male","","1.9 [1.6-2.4]","1.90000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AFR","Africa","","LSO","Lesotho","","BTSX","Both sexes","","10 [8.7-11.6]","10.00000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AMR","Americas","","HND","Honduras","","FMLE","Female","","10.1 [8.3-12.1]","10.10000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EUR","Europe","","TKM","Turkmenistan","","FMLE","Female","","10.1 [8.6-11.9]","10.10000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AFR","Africa","","NAM","Namibia","","FMLE","Female","","10.4 [8.6-12.5]","10.40000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AFR","Africa","","LBR","Liberia","","FMLE","Female","","10.4 [9-12.1]","10.40000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AFR","Africa","","ZAF","South Africa","","FMLE","Female","","10.5 [8.7-12.7]","10.50000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","ARE","United Arab Emirates","","MLE","Male","","10.6 [8.3-13.4]","10.60000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AMR","Americas","","SLV","El Salvador","","FMLE","Female","","10.6 [8.7-12.7]","10.60000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AFR","Africa","","SLE","Sierra Leone","","FMLE","Female","","10.6 [9.2-12.2]","10.60000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","WPR","Western Pacific","","KHM","Cambodia","","FMLE","Female","","10.6 [9.2-12.3]","10.60000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AFR","Africa","","BWA","Botswana","","FMLE","Female","","10.7 [8.9-12.9]","10.70000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","WPR","Western Pacific","","PNG","Papua New Guinea","","MLE","Male","","10.8 [9.4-12.5]","10.80000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","WPR","Western Pacific","","SLB","Solomon Islands","","MLE","Male","","10.9 [9.4-12.5]","10.90000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AFR","Africa","","MUS","Mauritius","","FMLE","Female","","10.9 [9.4-12.6]","10.90000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","WPR","Western Pacific","","VUT","Vanuatu","","MLE","Male","","10.9 [9.4-12.6]","10.90000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AFR","Africa","","BDI","Burundi","","FMLE","Female","","10.9 [9.4-12.7]","10.90000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","DJI","Djibouti","","BTSX","Both sexes","","11 [9.7-12.4]","11.00000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AMR","Americas","","NIC","Nicaragua","","FMLE","Female","","11.4 [9.4-13.7]","11.40000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AFR","Africa","","ERI","Eritrea","","BTSX","Both sexes","","11.5 [10.2-12.8]","11.50000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","WPR","Western Pacific","","MNG","Mongolia","","FMLE","Female","","11.5 [9.8-13.4]","11.50000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","WPR","Western Pacific","","TUV","Tuvalu","","MLE","Male","","11.6 [-]","11.60000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","WPR","Western Pacific","","PHL","Philippines","","FMLE","Female","","11.6 [10-13.4]","11.60000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","WPR","Western Pacific","","NIU","Niue","","FMLE","Female","","11.7 [-]","11.70000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EUR","Europe","","TJK","Tajikistan","","BTSX","Both sexes","","11.7 [10.4-13.2]","11.70000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EUR","Europe","","UZB","Uzbekistan","","BTSX","Both sexes","","11.8 [10.4-13.3]","11.80000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AFR","Africa","","NER","Niger","","BTSX","Both sexes","","11.8 [10.6-13.2]","11.80000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AFR","Africa","","CPV","Cabo Verde","","FMLE","Female","","11.9 [10.3-13.7]","11.90000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","WPR","Western Pacific","","TON","Tonga","","MLE","Male","","11.9 [10.3-13.7]","11.90000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AFR","Africa","","MDG","Madagascar","","BTSX","Both sexes","","12 [10.8-13.3]","12.00000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AFR","Africa","","STP","Sao Tome and Principe","","FMLE","Female","","12.1 [10.5-13.9]","12.10000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AFR","Africa","","SEN","Senegal","","BTSX","Both sexes","","12.4 [11.1-13.8]","12.40000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","WPR","Western Pacific","","FSM","Micronesia (Federated States of)","","MLE","Male","","12.5 [10.8-14.3]","12.50000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AFR","Africa","","MOZ","Mozambique","","BTSX","Both sexes","","12.5 [11.2-13.9]","12.50000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AFR","Africa","","GIN","Guinea","","BTSX","Both sexes","","12.6 [11.3-14.1]","12.60000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","WPR","Western Pacific","","NRU","Nauru","","BTSX","Both sexes","","12.8 [-]","12.80000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AMR","Americas","","HTI","Haiti","","FMLE","Female","","12.8 [10.8-15.1]","12.80000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EUR","Europe","","AZE","Azerbaijan","","BTSX","Both sexes","","12.8 [11.2-14.5]","12.80000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AMR","Americas","","JAM","Jamaica","","FMLE","Female","","12.9 [10.9-15.2]","12.90000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AFR","Africa","","MLI","Mali","","BTSX","Both sexes","","12.9 [11.5-14.3]","12.90000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","SEAR","South-East Asia","","TLS","Timor-Leste","","BTSX","Both sexes","","12.9 [11.5-14.3]","12.90000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","QAT","Qatar","","FMLE","Female","","12.9 [8.6-18.8]","12.90000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AFR","Africa","","RWA","Rwanda","","FMLE","Female","","13 [11.2-15.2]","13.00000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","WPR","Western Pacific","","WSM","Samoa","","MLE","Male","","13.1 [11.4-15.1]","13.10000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","SEAR","South-East Asia","","IDN","Indonesia","","BTSX","Both sexes","","13.1 [11.7-14.6]","13.10000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AMR","Americas","","PRY","Paraguay","","FMLE","Female","","13.1 [9.9-17.3]","13.10000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AFR","Africa","","BFA","Burkina Faso","","FMLE","Female","","13.3 [11.5-15.3]","13.30000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","WPR","Western Pacific","","VNM","Viet Nam","","FMLE","Female","","13.3 [11.5-15.4]","13.30000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AFR","Africa","","TCD","Chad","","BTSX","Both sexes","","13.3 [11.9-14.6]","13.30000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","AFR","Africa","","ETH","Ethiopia","","BTSX","Both sexes","","13.3 [12-14.8]","13.30000","","","","",""
"SA_0000001759","15-19 years old, current drinkers (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2325","PUBLISHED","Published","","2016","2016","","EUR","Europe","","GEO","Georgia","","FMLE","Female","","13.4 [11.4-15.7]","13.40000","","","","",""
