"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","DATASOURCE (CODE)","DATASOURCE (DISPLAY)","DATASOURCE (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_FIN","Data source","","PUBLISHED","Published","","2010","2010","","EUR","Europe","","FIN","Finland","","4.7","4.70000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_GRC","Data source","","PUBLISHED","Published","","2007","2007","","EUR","Europe","","GRC","Greece","","0.9","0.90000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_GRC","Data source","","PUBLISHED","Published","","2009","2009","","EUR","Europe","","GRC","Greece","","0.9","0.90000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_ISL","Data source","","PUBLISHED","Published","","1999","1999","","EUR","Europe","","ISL","Iceland","","3.2","3.20000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_ISL","Data source","","PUBLISHED","Published","","2001","2001","","EUR","Europe","","ISL","Iceland","","3.5","3.50000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_ITA","Data source","","PUBLISHED","Published","","1990","1990","","EUR","Europe","","ITA","Italy","","1.1","1.10000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_ITA","Data source","","PUBLISHED","Published","","2005","2005","","EUR","Europe","","ITA","Italy","","0.8","0.80000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_ITA","Data source","","PUBLISHED","Published","","2007","2007","","EUR","Europe","","ITA","Italy","","0.7","0.70000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_JPN","Data source","","PUBLISHED","Published","","2001","2001","","WPR","Western Pacific","","JPN","Japan","","1.1","1.10000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_JPN","Data source","","PUBLISHED","Published","","2003","2003","","WPR","Western Pacific","","JPN","Japan","","1.1","1.10000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_KGZ","Data source","","PUBLISHED","Published","","1993","1993","","EUR","Europe","","KGZ","Kyrgyzstan","","2.8","2.80000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_KGZ","Data source","","PUBLISHED","Published","","1995","1995","","EUR","Europe","","KGZ","Kyrgyzstan","","1.9","1.90000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_ARM","Data source","","PUBLISHED","Published","","1994","1994","","EUR","Europe","","ARM","Armenia","","2.2","2.20000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_MDA","Data source","","PUBLISHED","Published","","1990","1990","","EUR","Europe","","MDA","Republic of Moldova","","2.6","2.60000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_NOR","Data source","","PUBLISHED","Published","","1996","1996","","EUR","Europe","","NOR","Norway","","4","4.00000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_NOR","Data source","","PUBLISHED","Published","","1998","1998","","EUR","Europe","","NOR","Norway","","4.1","4.10000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_POL","Data source","","PUBLISHED","Published","","1990","1990","","EUR","Europe","","POL","Poland","","8.5","8.50000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_POL","Data source","","PUBLISHED","Published","","1992","1992","","EUR","Europe","","POL","Poland","","7.2","7.20000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_RUS","Data source","","PUBLISHED","Published","","1995","1995","","EUR","Europe","","RUS","Russian Federation","","2.5","2.50000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_RUS","Data source","","PUBLISHED","Published","","2012","2012","","EUR","Europe","","RUS","Russian Federation","","1.7","1.70000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_ZAF","Data source","","PUBLISHED","Published","","1992","1992","","AFR","Africa","","ZAF","South Africa","","7.8","7.80000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_UKR","Data source","","PUBLISHED","Published","","2011","2011","","EUR","Europe","","UKR","Ukraine","","1.4","1.40000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_GBR","Data source","","PUBLISHED","Published","","1990","1990","","EUR","Europe","","GBR","United Kingdom of Great Britain and Northern Ireland","","6.5","6.50000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_GBR","Data source","","PUBLISHED","Published","","2005","2005","","EUR","Europe","","GBR","United Kingdom of Great Britain and Northern Ireland","","5.4","5.40000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_GBR","Data source","","PUBLISHED","Published","","2012","2012","","EUR","Europe","","GBR","United Kingdom of Great Britain and Northern Ireland","","1.6","1.60000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_UZB","Data source","","PUBLISHED","Published","","1990","1990","","EUR","Europe","","UZB","Uzbekistan","","2.9","2.90000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_UZB","Data source","","PUBLISHED","Published","","1992","1992","","EUR","Europe","","UZB","Uzbekistan","","3.2","3.20000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_NLD","Data Source","","PUBLISHED","Published","","2011","2011","","EUR","Europe","","NLD","Netherlands","","0.07","0.07000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_NLD","Data Source","","PUBLISHED","Published","","2013","2013","","EUR","Europe","","NLD","Netherlands","","0.8","0.80000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_SVN","Data source","","PUBLISHED","Published","","2007","2007","","EUR","Europe","","SVN","Slovenia","","1","1.00000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_SVN","Data source","","PUBLISHED","Published","","2009","2009","","EUR","Europe","","SVN","Slovenia","","1","1.00000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_SWE","Data source","","PUBLISHED","Published","","2010","2010","","EUR","Europe","","SWE","Sweden","","1.9","1.90000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_FIN","Data source","","PUBLISHED","Published","","2015","2015","","EUR","Europe","","FIN","Finland","","4.1","4.10000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_MKD","Data source","","PUBLISHED","Published","","2015","2015","","EUR","Europe","","MKD","North Macedonia","","1.2","1.20000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_ROU","Data source","","PUBLISHED","Published","","1997","1997","","EUR","Europe","","ROU","Romania","","2.9","2.90000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_ROU","Data source","","PUBLISHED","Published","","1999","1999","","EUR","Europe","","ROU","Romania","","4.2","4.20000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_ROU","Data source","","PUBLISHED","Published","","2010","2010","","EUR","Europe","","ROU","Romania","","4","4.00000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_ALB","Data source","","PUBLISHED","Published","","2015","2015","","EUR","Europe","","ALB","Albania","","1.3","1.30000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_AUS","Data source","","PUBLISHED","Published","","2015","2015","","WPR","Western Pacific","","AUS","Australia","","2.3","2.30000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_AUT","Data source","","PUBLISHED","Published","","2016","2016","","EUR","Europe","","AUT","Austria","","1.3","1.30000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_CZE","Data source","","PUBLISHED","Published","","2016","2016","","EUR","Europe","","CZE","Czechia","","1.5","1.50000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_AZE","Data source","","PUBLISHED","Published","","2015","2015","","EUR","Europe","","AZE","Azerbaijan","","0.5","0.50000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_AUT","Data source","","PUBLISHED","Published","","1998","1998","","EUR","Europe","","AUT","Austria","","1.5","1.50000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_AUT","Data source","","PUBLISHED","Published","","1999","1999","","EUR","Europe","","AUT","Austria","","1.5","1.50000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_AUT","Data source","","PUBLISHED","Published","","2013","2013","","EUR","Europe","","AUT","Austria","","1.4","1.40000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_AZE","Data source","","PUBLISHED","Published","","1992","1992","","EUR","Europe","","AZE","Azerbaijan","","1","1.00000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_BLR","Data source","","PUBLISHED","Published","","1994","1994","","EUR","Europe","","BLR","Belarus","","4.7","4.70000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_BLR","Data source","","PUBLISHED","Published","","1995","1995","","EUR","Europe","","BLR","Belarus","","3.3","3.30000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_CAN","Data source","","PUBLISHED","Published","","1995","1995","","AMR","Americas","","CAN","Canada","","2.2","2.20000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_CAN","Data source","","PUBLISHED","Published","","1996","1996","","AMR","Americas","","CAN","Canada","","2","2.00000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_CAN","Data source","","PUBLISHED","Published","","2010","2010","","AMR","Americas","","CAN","Canada","","2","2.00000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_DNK","Data source","","PUBLISHED","Published","","2002","2002","","EUR","Europe","","DNK","Denmark","","2.2","2.20000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_DNK","Data source","","PUBLISHED","Published","","2003","2003","","EUR","Europe","","DNK","Denmark","","2.3","2.30000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_EST","Data source","","PUBLISHED","Published","","2003","2003","","EUR","Europe","","EST","Estonia","","2.1","2.10000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_EST","Data source","","PUBLISHED","Published","","2004","2004","","EUR","Europe","","EST","Estonia","","1.9","1.90000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_FIN","Data source","","PUBLISHED","Published","","1998","1998","","EUR","Europe","","FIN","Finland","","5.6","5.60000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_FIN","Data source","","PUBLISHED","Published","","2001","2001","","EUR","Europe","","FIN","Finland","","5.4","5.40000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_GEO","Data source","","PUBLISHED","Published","","1991","1991","","EUR","Europe","","GEO","Georgia","","1.1","1.10000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_GRC","Data source","","PUBLISHED","Published","","2000","2000","","EUR","Europe","","GRC","Greece","","0.9","0.90000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_ISL","Data source","","PUBLISHED","Published","","2007","2007","","EUR","Europe","","ISL","Iceland","","2.9","2.90000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_ITA","Data source","","PUBLISHED","Published","","1996","1996","","EUR","Europe","","ITA","Italy","","0.9","0.90000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_ITA","Data source","","PUBLISHED","Published","","1997","1997","","EUR","Europe","","ITA","Italy","","0.8","0.80000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_JPN","Data source","","PUBLISHED","Published","","1993","1993","","WPR","Western Pacific","","JPN","Japan","","1.2","1.20000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_JPN","Data source","","PUBLISHED","Published","","1994","1994","","WPR","Western Pacific","","JPN","Japan","","1.1","1.10000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_JPN","Data source","","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","JPN","Japan","","1.6","1.60000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_KAZ","Data source","","PUBLISHED","Published","","1992","1992","","EUR","Europe","","KAZ","Kazakhstan","","5.4","5.40000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_LTU","Data source","","PUBLISHED","Published","","2008","2008","","EUR","Europe","","LTU","Lithuania","","2.5","2.50000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_LTU","Data source","","PUBLISHED","Published","","2012","2012","","EUR","Europe","","LTU","Lithuania","","2.4","2.40000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_NZL","Data source","","PUBLISHED","Published","","2013","2013","","WPR","Western Pacific","","NZL","New Zealand","","1.9","1.90000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_NOR","Data source","","PUBLISHED","Published","","1990","1990","","EUR","Europe","","NOR","Norway","","4.6","4.60000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_ARM","Data source","","PUBLISHED","Published","","2005","2005","","EUR","Europe","","ARM","Armenia","","1.6","1.60000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_ARM","Data source","","PUBLISHED","Published","","2004","2004","","EUR","Europe","","ARM","Armenia","","1.6","1.60000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_NOR","Data source","","PUBLISHED","Published","","2004","2004","","EUR","Europe","","NOR","Norway","","3.2","3.20000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_NOR","Data source","","PUBLISHED","Published","","2007","2007","","EUR","Europe","","NOR","Norway","","2.8","2.80000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_NOR","Data source","","PUBLISHED","Published","","2008","2008","","EUR","Europe","","NOR","Norway","","2.7","2.70000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_RUS","Data source","","PUBLISHED","Published","","2005","2005","","EUR","Europe","","RUS","Russian Federation","","1.9","1.90000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_SWE","Data source","","PUBLISHED","Published","","2002","2002","","EUR","Europe","","SWE","Sweden","","3","3.00000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_SWE","Data source","","PUBLISHED","Published","","2003","2003","","EUR","Europe","","SWE","Sweden","","3","3.00000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_TJK","Data source","","PUBLISHED","Published","","2006","2006","","EUR","Europe","","TJK","Tajikistan","","0.2","0.20000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_TJK","Data source","","PUBLISHED","Published","","2007","2007","","EUR","Europe","","TJK","Tajikistan","","0.2","0.20000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_TKM","Data source","","PUBLISHED","Published","","1994","1994","","EUR","Europe","","TKM","Turkmenistan","","4","4.00000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_TKM","Data source","","PUBLISHED","Published","","1990","1990","","EUR","Europe","","UKR","Ukraine","","3.7","3.70000","","","","",""
"SA_0000001476","Alcohol expenditure as a per cent of total household expenditure","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2339","SA_0000001476_GBR","Data source","","PUBLISHED","Published","","1999","1999","","EUR","Europe","","GBR","United Kingdom of Great Britain and Northern Ireland","","5.9","5.90000","","","","",""
