"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","DATASOURCE (CODE)","DATASOURCE (DISPLAY)","DATASOURCE (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","ALCOHOLTYPE (CODE)","ALCOHOLTYPE (DISPLAY)","ALCOHOLTYPE (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAND","avg of France and Spain consumption 2000-2018","","PUBLISHED","Published","","2015","2015","","EUR","Europe","","AND","Andorra","","SA_OTHER_ALCOHOL","Other alcoholic beverages","","0","0.00000","0.00000","0.00000","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAND","avg of France and Spain consumption 2000-2018","","PUBLISHED","Published","","2016","2016","","EUR","Europe","","AND","Andorra","","SA_BEER","Beer","","3.26","3.26000","2.07260","4.51420","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAND","avg of France and Spain consumption 2000-2018","","PUBLISHED","Published","","2017","2017","","EUR","Europe","","AND","Andorra","","SA_SPIRITS","Spirits","","2.35","2.35000","1.41339","3.27036","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAND","avg of France and Spain consumption 2000-2018","","PUBLISHED","Published","","2017","2017","","EUR","Europe","","AND","Andorra","","SA_TOTAL","All types","","11.18","11.18000","8.51570","13.57097","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAND","avg of France and Spain consumption 2000-2018","","PUBLISHED","Published","","2018","2018","","EUR","Europe","","AND","Andorra","","SA_TOTAL","All types","","10.72","10.72000","7.97535","13.01961","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHAND","avg of France and Spain consumption 2000-2018","","PUBLISHED","Published","","2019","2019","","EUR","Europe","","AND","Andorra","","SA_WINE","Wine","","4.98","4.98000","3.20762","6.92963","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHARE","(FAO) 1972-1999; (IWSR) 2000-2018","","PUBLISHED","Published","","2010","2010","","EMR","Eastern Mediterranean","","ARE","United Arab Emirates","","SA_OTHER_ALCOHOL","Other alcoholic beverages","","0.01","0.01000","0.00616","0.01383","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHARE","(FAO) 1972-1999; (IWSR) 2000-2018","","PUBLISHED","Published","","2011","2011","","EMR","Eastern Mediterranean","","ARE","United Arab Emirates","","SA_BEER","Beer","","0.2","0.20000","0.12589","0.27593","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHARE","(FAO) 1972-1999; (IWSR) 2000-2018","","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","ARE","United Arab Emirates","","SA_SPIRITS","Spirits","","1.45","1.45000","0.89599","2.03126","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHARE","(FAO) 1972-1999; (IWSR) 2000-2018","","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","ARE","United Arab Emirates","","SA_TOTAL","All types","","1.78","1.78000","1.23110","2.40085","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHARE","(FAO) 1972-1999; (IWSR) 2000-2018","","PUBLISHED","Published","","2013","2013","","EMR","Eastern Mediterranean","","ARE","United Arab Emirates","","SA_TOTAL","All types","","1.86","1.86000","1.28307","2.47976","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHARE","(FAO) 1972-1999; (IWSR) 2000-2018","","PUBLISHED","Published","","2014","2014","","EMR","Eastern Mediterranean","","ARE","United Arab Emirates","","SA_WINE","Wine","","0.14","0.14000","0.08734","0.19639","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHARE","(FAO) 1972-1999; (IWSR) 2000-2018","","PUBLISHED","Published","","2015","2015","","EMR","Eastern Mediterranean","","ARE","United Arab Emirates","","SA_OTHER_ALCOHOL","Other alcoholic beverages","","0.02","0.02000","0.01267","0.02795","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHARE","(FAO) 1972-1999; (IWSR) 2000-2018","","PUBLISHED","Published","","2016","2016","","EMR","Eastern Mediterranean","","ARE","United Arab Emirates","","SA_BEER","Beer","","0.23","0.23000","0.14338","0.32608","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHARE","(FAO) 1972-1999; (IWSR) 2000-2018","","PUBLISHED","Published","","2017","2017","","EMR","Eastern Mediterranean","","ARE","United Arab Emirates","","SA_SPIRITS","Spirits","","1.76","1.76000","1.08329","2.39702","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHARE","(FAO) 1972-1999; (IWSR) 2000-2018","","PUBLISHED","Published","","2017","2017","","EMR","Eastern Mediterranean","","ARE","United Arab Emirates","","SA_TOTAL","All types","","2.16","2.16000","1.48699","2.80221","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHARE","(FAO) 1972-1999; (IWSR) 2000-2018","","PUBLISHED","Published","","2018","2018","","EMR","Eastern Mediterranean","","ARE","United Arab Emirates","","SA_TOTAL","All types","","2.12","2.12000","1.46964","2.78207","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHARE","(FAO) 1972-1999; (IWSR) 2000-2018","","PUBLISHED","Published","","2019","2019","","EMR","Eastern Mediterranean","","ARE","United Arab Emirates","","SA_WINE","Wine","","0.14","0.14000","0.09073","0.19967","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHARG","(FAO) 1961-1979; (WDT) 1980-1999; WHO 2000-2010; Republica Argentina 2011-2018","","PUBLISHED","Published","","2010","2010","","AMR","Americas","","ARG","Argentina","","SA_OTHER_ALCOHOL","Other alcoholic beverages","","0.47","0.47000","0.28286","0.64718","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHARG","(FAO) 1961-1979; (WDT) 1980-1999; WHO 2000-2010; Republica Argentina 2011-2018","","PUBLISHED","Published","","2011","2011","","AMR","Americas","","ARG","Argentina","","SA_BEER","Beer","","3.5","3.50000","2.15161","4.93016","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHARG","(FAO) 1961-1979; (WDT) 1980-1999; WHO 2000-2010; Republica Argentina 2011-2018","","PUBLISHED","Published","","2012","2012","","AMR","Americas","","ARG","Argentina","","SA_SPIRITS","Spirits","","0.48","0.48000","0.29743","0.67744","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHARG","(FAO) 1961-1979; (WDT) 1980-1999; WHO 2000-2010; Republica Argentina 2011-2018","","PUBLISHED","Published","","2012","2012","","AMR","Americas","","ARG","Argentina","","SA_TOTAL","All types","","8","8.00000","6.13734","9.81643","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHARG","(FAO) 1961-1979; (WDT) 1980-1999; WHO 2000-2010; Republica Argentina 2011-2018","","PUBLISHED","Published","","2013","2013","","AMR","Americas","","ARG","Argentina","","SA_TOTAL","All types","","8.27","8.27000","6.24569","10.22835","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHARG","(FAO) 1961-1979; (WDT) 1980-1999; WHO 2000-2010; Republica Argentina 2011-2018","","PUBLISHED","Published","","2014","2014","","AMR","Americas","","ARG","Argentina","","SA_WINE","Wine","","3.21","3.21000","1.88907","4.45888","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHARG","(FAO) 1961-1979; (WDT) 1980-1999; WHO 2000-2010; Republica Argentina 2011-2018","","PUBLISHED","Published","","2014","2014","","AMR","Americas","","ARG","Argentina","","SA_OTHER_ALCOHOL","Other alcoholic beverages","","0.8","0.80000","0.48834","1.10078","","",""
"SA_0000001400","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/462","GISAHARG","(FAO) 1961-1979; (WDT) 1980-1999; WHO 2000-2010; Republica Argentina 2011-2018","","PUBLISHED","Published","","2015","2015","","AMR","Americas","","ARG","Argentina","","SA_OTHER_ALCOHOL","Other alcoholic beverages","","0.88","0.88000","0.54153","1.22883","","",""
